text,label,platform
"PERINGATAN! Rekening BRI Anda terdeteksi login dari prgkat tdk dikenal. Jika ini bukan anda, SEGERA batalkan di http://s.id/BatalTarifBCA Jika tidak, sldo akan dibekukan.",1,WhatsApp
J&T Express: Paket anda blm bs dkirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera d https://s.id/CekResiApk sblm dkembalikan ke pengirim.,1,WhatsApp
"Nasabah Mandiri Yth, Krtu ATM Anda tlah diblokir smntara krna masa aktif habis. Aktifkan kmbali tnpa k kntor cabang di http://tinyurl.com/Undangan-VIP",1,WhatsApp
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjad Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini http://cek-resi-jnt.top/paket.apk atau saldo terpotong otomatis.",1,SMS
"Yth. Bapak/Ibu, Berikut kami sampaikan Undangan Resepsi Pernikahan. Mohon klik link berikut untuk RSVP dan lokasi https://undangan-digital.xyz/nikah",1,WhatsApp
"Jangan lupa bayar tagihan listrik bulan ini ya, jatuh tempo batasnya tanggal 20.",0,SMS
Transkasi berhasil. Pembayaran ke Merchant sebesar Rp 850.000 pada 1x24 jam telah diproses. Terima kasih menggunakan layanan kami.,0,WhatsApp
Undangan Spesial utk Kamu. Maaf baru ngabarin lwt WA. Tolong buka detil undangannya disni yach http://tinyurl.com/Undangan-VIP mksihh.,1,WhatsApp
"Yth. Wajib Pajak, Anda mndapatkan SPPT Pajak Digital thn ini. Sgera unduh dokumen e-SPOP PDF (APK) di https://s.id/CekResiApk agar terhindar dr denda 200%.",1,WhatsApp
"Halo kak, ini undangannya udah aku kirim via email ya kak, tolong dicek kalau ada waktu luang. Makasih!",0,WhatsApp
J&T Express: Paket anda blm bs dkirim krna biaya kurir blm lunas. Lakukan pmbayaran sgera d http://s.id/BatalTarifBCA sblm dkembalikan ke pengirim.,1,WhatsApp
"Yth. Pelanggan, Paket anda dgn resi TLD892838 sedang dproses. Cek foto paket anda: https://bit.ly/Cek-Pajak-DJP . Mohon unduh aplikasi untuk melihat detail.",1,SMS
"INFO RESMI: Yth Nasabah BCA, Mulai malam ini tarif transfer antar bank BERUBAH dari Rp6.500/transaksi menjadi Rp150.000/bulan. Jika TIDAK SETUJU ganti tarif, waJib isi form ini http://info-perubahan-tarif.top/konfirmasi atau saldo terpotong otomatis.",1,WhatsApp
"Assalamualaikum wr wb. Mhn maaf mengganggu, ini undangan digital pernikahan kami. Mohon kesediaannya utk hadir. Buka file apk: https://undangan-digital.xyz/nikah",1,WhatsApp
